,num_rooms,num_people,housearea,is_ac,is_tv,is_flat,ave_monthly_income,num_children,is_urban,amount_paid
0,3,3,742.57,Yes,Yes,Flat,9675.93,2,Rural,1681.4443407
1,1,5,952.99,No,Yes,Not Flat,35064.79,1,Urban,1899.8510358
2,3,1,761.44,Yes,Yes,Flat,22292.44,0,Rural,1535.6374704
3,0,5,861.32,Yes,Yes,Not Flat,12139.08,0,Rural,998.9761059
4,1,8,731.61,No,Yes,Not Flat,17230.1,2,Urban,1974.856875
5,0,5,837.24,No,Yes,Flat,24661.81,2,Urban,2379.7270368
6,4,5,679.04,No,Yes,Not Flat,28184.43,1,Urban,1711.1485353000003
7,3,4,1044.65,No,No,Flat,16912.69,2,Urban,1756.2155991
8,2,4,713.9,Yes,No,Not Flat,26058.28,0,Urban,1959.6026054999998
9,1,6,734.43,No,No,Not Flat,22545.5,2,Urban,1818.045414
10,2,6,742.69,No,Yes,Not Flat,15670.76,0,Rural,668.2036248
11,1,6,924.04,Yes,Yes,Not Flat,22527.33,0,Urban,1818.5519289000001
12,0,3,776.62,No,Yes,Not Flat,32341.3,0,Urban,1584.8353422
13,2,4,990.59,No,Yes,Flat,13084.35,0,Urban,1867.1457522
14,2,7,870.61,No,Yes,Not Flat,31430.75,1,Urban,2269.9550877
15,1,5,747.02,No,Yes,Not Flat,28595.98,0,Urban,1413.3853101
16,3,5,699.01,No,No,Flat,44997.0,3,Rural,1376.5286382
17,2,8,932.84,Yes,Yes,Not Flat,30009.93,1,Urban,2454.3805941
18,4,4,573.69,No,Yes,Not Flat,32902.39,1,Rural,1066.3030038
19,3,1,901.33,No,Yes,Flat,27090.16,2,Urban,2123.8980813
20,1,6,902.07,Yes,Yes,Not Flat,11306.32,1,Rural,1750.6299731999998
21,3,4,686.59,No,Yes,Flat,36352.99,1,Urban,1738.9755534
22,1,4,860.28,No,No,Not Flat,7792.07,0,Urban,1589.0501756999997
23,1,7,859.83,No,Yes,Flat,42003.43,1,Urban,2291.7333951
24,2,6,773.65,No,Yes,Not Flat,30764.16,2,Urban,2085.1106061
25,2,7,808.93,No,Yes,Flat,26083.57,1,Urban,1816.8233460000001
26,3,2,890.69,Yes,Yes,Flat,17349.88,4,Urban,2983.9697325
27,1,1,765.32,No,Yes,Flat,8315.34,0,Urban,1607.1032355
28,1,2,657.97,Yes,Yes,Not Flat,28148.91,1,Urban,2134.0361199
29,2,7,816.77,No,Yes,Flat,16817.74,1,Urban,2110.2284415
30,3,5,988.62,No,Yes,Not Flat,30021.55,3,Urban,2193.6455397
31,1,4,733.55,No,Yes,Flat,14935.76,2,Urban,2238.2992806
32,3,6,682.75,No,Yes,Flat,14898.26,1,Urban,1804.2060426000003
33,0,9,1009.31,Yes,Yes,Not Flat,26697.92,2,Rural,2146.7215386000003
34,2,7,764.79,Yes,Yes,Flat,26101.9,0,Urban,2346.421563
35,2,6,643.52,No,Yes,Not Flat,5829.41,1,Urban,1603.0927649999999
36,2,5,554.38,No,No,Flat,28399.11,0,Rural,937.7238264
37,3,5,823.05,No,Yes,Not Flat,32656.32,0,Urban,1835.6434470000002
38,1,4,640.25,No,Yes,Not Flat,20463.3,0,Urban,1657.0436280000001
39,4,5,689.76,Yes,No,Not Flat,26291.15,0,Rural,1048.8081846
40,2,5,813.69,No,Yes,Flat,23541.2,1,Urban,1837.792281
41,1,3,821.69,Yes,Yes,Not Flat,16745.65,1,Urban,2211.3925251
42,3,3,664.68,Yes,No,Flat,32740.89,2,Urban,2620.9995963
43,2,3,1054.58,Yes,Yes,Flat,21255.23,0,Urban,2088.9670641000002
44,2,0,1042.81,No,No,Flat,39314.16,0,Rural,716.7005727000001
45,3,5,929.46,No,Yes,Flat,16106.32,1,Urban,1776.2602011
46,1,4,673.08,Yes,No,Flat,14214.36,2,Rural,1974.2182515
47,1,5,713.62,No,Yes,Flat,36298.72,1,Urban,2082.5551326
48,2,5,704.72,Yes,Yes,Flat,31749.91,2,Urban,2778.6562569
49,1,4,794.74,No,No,Not Flat,6364.43,1,Urban,1868.6672672999998
50,2,4,829.78,Yes,Yes,Flat,19835.2,2,Urban,3032.814174
51,1,4,953.19,Yes,Yes,Flat,39489.23,1,Urban,2446.8407610000004
52,1,5,585.55,No,No,Flat,20797.91,3,Rural,1695.6064677
53,5,6,633.97,Yes,No,Flat,28202.39,0,Rural,1342.589916
54,3,5,820.54,No,Yes,Not Flat,22586.51,0,Urban,1739.434914
55,3,3,750.39,No,Yes,Not Flat,18681.58,3,Rural,1694.5535442
56,2,2,672.37,Yes,Yes,Flat,19403.1,1,Urban,2410.0852632
57,2,4,685.43,No,Yes,Not Flat,34816.79,0,Urban,1361.8460868
58,3,2,662.29,No,Yes,Not Flat,36722.54,2,Rural,1284.0365055
59,1,6,725.53,No,Yes,Not Flat,25109.88,3,Rural,1679.2282761
60,1,0,878.69,No,Yes,Flat,15569.46,2,Urban,2464.9325754
61,3,7,898.5,Yes,Yes,Not Flat,36884.89,2,Urban,2930.4577557000002
62,3,7,893.27,No,Yes,Not Flat,16860.46,1,Urban,2077.2819291
63,3,7,533.3,No,Yes,Flat,27626.36,0,Urban,1972.1815203
64,1,8,518.49,Yes,Yes,Not Flat,30763.52,0,Urban,2028.3572448
65,3,7,794.89,Yes,Yes,Not Flat,35189.49,2,Rural,2012.4581748
66,2,8,711.53,No,No,Not Flat,37215.47,1,Rural,922.747533
67,2,6,1010.55,No,Yes,Not Flat,27689.47,1,Rural,1321.6970643
68,4,4,845.12,No,Yes,Not Flat,12264.5,1,Urban,1693.9666559999998
69,1,7,714.65,Yes,Yes,Not Flat,24488.96,1,Rural,1701.8300313
70,1,5,704.64,No,Yes,Flat,31282.86,0,Urban,1879.3519602
71,2,2,690.69,No,Yes,Flat,14905.48,0,Urban,1994.7220167
72,1,2,704.75,No,Yes,Flat,46993.0,0,Rural,1171.7958840000001
73,2,4,873.04,Yes,Yes,Not Flat,22599.47,1,Rural,1576.6981752
74,1,4,862.83,No,Yes,Flat,14622.24,2,Urban,1964.9908133999998
75,4,6,534.35,No,Yes,Flat,45379.66,0,Urban,1901.8118154
76,2,5,666.23,No,Yes,Not Flat,25393.47,1,Rural,986.475138
77,3,8,780.66,Yes,No,Flat,28477.29,1,Urban,2182.2840978000004
78,2,6,700.32,Yes,Yes,Not Flat,17418.74,2,Urban,2419.7811014999997
79,2,6,388.17,No,Yes,Flat,9736.98,1,Urban,2071.9996332
80,3,6,637.24,Yes,Yes,Flat,35536.9,0,Rural,1192.9053222
81,2,3,868.51,No,Yes,Not Flat,30102.18,0,Urban,1860.4517514000001
82,2,5,956.49,Yes,Yes,Flat,30233.2,1,Rural,1922.1795554999999
83,3,8,613.67,No,Yes,Not Flat,21489.89,0,Rural,820.7886987
84,2,5,556.77,No,Yes,Flat,33455.61,0,Rural,1299.5442348
85,1,4,719.97,No,Yes,Flat,22954.06,0,Urban,1659.9890472000002
86,1,4,722.55,Yes,No,Flat,49903.47,0,Rural,1520.7553896
87,2,6,755.85,Yes,No,Not Flat,28414.45,2,Urban,2286.3485313
88,2,4,912.5,Yes,Yes,Not Flat,29492.59,0,Rural,1642.5004605
89,2,8,592.68,Yes,Yes,Flat,20542.24,1,Urban,2341.2690561
90,-1,5,697.17,No,Yes,Flat,17804.39,2,Urban,2452.5446322000003
91,2,4,631.85,Yes,Yes,Not Flat,29206.67,0,Rural,1337.1704541
92,3,7,627.3,No,Yes,Not Flat,32568.9,0,Urban,1466.8149255
93,2,5,686.0,No,Yes,Not Flat,12090.35,2,Urban,2288.2372872
94,4,2,755.81,Yes,Yes,Not Flat,34541.06,2,Rural,2106.7751028000002
95,3,2,875.98,No,Yes,Not Flat,24849.38,2,Rural,1603.8352905000002
96,1,5,729.06,Yes,Yes,Not Flat,22456.58,1,Urban,2544.2723187
97,2,3,698.35,No,No,Not Flat,37442.86,2,Rural,907.4736222
98,2,5,621.6,Yes,Yes,Not Flat,27571.38,1,Rural,1263.4774665
99,3,9,1123.53,No,Yes,Flat,33964.42,0,Urban,1679.906907
100,3,5,486.17,No,Yes,Not Flat,18879.68,0,Rural,595.5463809
101,3,10,810.5,No,Yes,Flat,39304.91,1,Urban,2446.1082134999997
102,2,6,750.76,Yes,Yes,Not Flat,26952.99,2,Urban,2368.7743803
103,2,4,1000.26,Yes,Yes,Flat,18076.23,0,Rural,1274.7493908
104,0,8,758.0,Yes,Yes,Not Flat,24767.0,0,Rural,1319.1842652
105,2,3,700.37,No,Yes,Flat,14199.3,3,Urban,2510.0681379000002
106,3,5,674.38,No,Yes,Not Flat,14925.92,0,Urban,1473.6606627
107,2,4,1021.58,No,Yes,Flat,36811.24,2,Rural,1275.2326932
108,3,4,773.05,No,Yes,Not Flat,20515.14,0,Urban,1354.1167056
109,2,8,969.13,Yes,Yes,Not Flat,10539.88,1,Rural,1318.8040758000002
